t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
1.9000000000e-02,-9.3391955428e-04,3.9824142330e-01,1.1032094525e-02,-1.4082159772e-04,1.0000000444e+00,-9.3877464248e-02,-1.8510952010e-01,1.0374655704e-01,-1.4155401961e-02,3.0142411914e-06,2,0.0000000000e+00,-5.6476378203e+00
2.0000000000e-02,-1.0299120203e-03,3.9805144376e-01,1.1138178488e-02,-1.5529591574e-04,1.0000000475e+00,-9.8095984733e-02,-1.9484945897e-01,1.0840868063e-01,-1.4791502765e-02,3.1467232982e-06,2,0.0000000000e+00,-5.5551990631e+00
2.1000000000e-02,-1.1300882808e-03,3.9785172459e-01,1.1248886206e-02,-1.7040109887e-04,1.0000000507e+00,-1.0224512334e-01,-2.0458876859e-01,1.1299414536e-01,-1.5417142731e-02,3.2796096319e-06,2,0.0000000000e+00,-5.4633251457e+00
2.2000000000e-02,-1.2343791667e-03,3.9764226644e-01,1.1364141256e-02,-1.8612671834e-04,1.0000000540e+00,-1.0632530601e-01,-2.1432741480e-01,1.1750342257e-01,-1.6032386111e-02,3.4117868331e-06,2,0.0000000000e+00,-5.3720197968e+00
2.3000000000e-02,-1.3427159361e-03,3.9742306999e-01,1.1483867687e-02,-2.0246240989e-04,1.0000000575e+00,-1.1033696143e-01,-2.2406536662e-01,1.2193698666e-01,-1.6637297577e-02,3.5422869436e-06,2,0.0000000000e+00,-5.2812866240e+00
2.4000000000e-02,-1.4550302774e-03,3.9719413595e-01,1.1607990025e-02,-2.1939787410e-04,1.0000000611e+00,-1.1428052100e-01,-2.3380259614e-01,1.2629531496e-01,-1.7231942203e-02,3.6702718407e-06,2,0.0000000000e+00,-5.1911291151e+00
2.5000000000e-02,-1.5712543114e-03,3.9695546505e-01,1.1736433274e-02,-2.3692287683e-04,1.0000000648e+00,-1.1815641870e-01,-2.4353907839e-01,1.3057888768e-01,-1.7816385452e-02,3.7950192534e-06,2,0.0000000000e+00,-5.1015506390e+00
2.6000000000e-02,-1.6913205943e-03,3.9670705805e-01,1.1869122919e-02,-2.5502724960e-04,1.0000000687e+00,-1.2196509101e-01,-2.5327479133e-01,1.3478818779e-01,-1.8390693163e-02,3.9159101790e-06,2,0.0000000000e+00,-5.0125544474e+00
2.7000000000e-02,-1.8151621199e-03,3.9644891573e-01,1.2005984931e-02,-2.7370088993e-04,1.0000000727e+00,-1.2570697685e-01,-2.6300971567e-01,1.3892370090e-01,-1.8954931542e-02,4.0324177357e-06,2,0.0000000000e+00,-4.9241436754e+00
2.8000000000e-02,-1.9427123223e-03,3.9618103889e-01,1.2146945766e-02,-2.9293376175e-04,1.0000000768e+00,-1.2938251744e-01,-2.7274383480e-01,1.4298591521e-01,-1.9509167141e-02,4.1440971283e-06,2,0.0000000000e+00,-4.8363213432e+00
2.9000000000e-02,-2.0739050777e-03,3.9590342834e-01,1.2291932371e-02,-3.1271589569e-04,1.0000000810e+00,-1.3299215628e-01,-2.8247713474e-01,1.4697532135e-01,-2.0053466852e-02,4.2505766496e-06,2,0.0000000000e+00,-4.7490903570e+00
3.0000000000e-02,-2.2086747070e-03,3.9561608490e-01,1.2440872183e-02,-3.3303738944e-04,1.0000000853e+00,-1.3653633900e-01,-2.9220960401e-01,1.5089241237e-01,-2.0587897888e-02,4.3515496131e-06,2,0.0000000000e+00,-4.6624535101e+00
3.1000000000e-02,-2.3469559778e-03,3.9531900941e-01,1.2593693136e-02,-3.5388840808e-04,1.0000000897e+00,-1.4001551331e-01,-3.0194123353e-01,1.5473768358e-01,-2.1112527778e-02,4.4467672246e-06,2,0.0000000000e+00,-4.5764134844e+00
3.2000000000e-02,-2.4886841065e-03,3.9501220271e-01,1.2750323657e-02,-3.7525918433e-04,1.0000000941e+00,-1.4343012893e-01,-3.1167201661e-01,1.5851163246e-01,-2.1627424345e-02,4.5360321181e-06,2,0.0000000000e+00,-4.4909728514e+00
3.3000000000e-02,-2.6337947598e-03,3.9469566566e-01,1.2910692675e-02,-3.9714001892e-04,1.0000000987e+00,-1.4678063746e-01,-3.2140194877e-01,1.6221475861e-01,-2.2132655703e-02,4.6191925774e-06,2,0.0000000000e+00,-4.4061340734e+00
3.4000000000e-02,-2.7822240574e-03,3.9436939910e-01,1.3074729617e-02,-4.1952128080e-04,1.0000001034e+00,-1.5006749235e-01,-3.3113102773e-01,1.6584756363e-01,-2.2628290237e-02,4.6961374017e-06,2,0.0000000000e+00,-4.3218995045e+00
3.5000000000e-02,-2.9339085730e-03,3.9403340389e-01,1.3242364413e-02,-4.4239340745e-04,1.0000001081e+00,-1.5329114880e-01,-3.4085925332e-01,1.6941055105e-01,-2.3114396597e-02,4.7667912605e-06,2,0.0000000000e+00,-4.2382713922e+00
3.6000000000e-02,-3.0887853365e-03,3.9368768088e-01,1.3413527499e-02,-4.6574690513e-04,1.0000001129e+00,-1.5645206364e-01,-3.5058662735e-01,1.7290422619e-01,-2.3591043679e-02,4.8311105675e-06,2,0.0000000000e+00,-4.1552518781e+00
3.7000000000e-02,-3.2467918354e-03,3.9333223092e-01,1.3588149816e-02,-4.8957234911e-04,1.0000001178e+00,-1.5955069534e-01,-3.6031315361e-01,1.7632909614e-01,-2.4058300621e-02,4.8890798396e-06,2,0.0000000000e+00,-4.0728429993e+00
3.8000000000e-02,-3.4078660164e-03,3.9296705486e-01,1.3766162812e-02,-5.1386038391e-04,1.0000001227e+00,-1.6258750385e-01,-3.7003883773e-01,1.7968566965e-01,-2.4516236786e-02,4.9407082964e-06,2,0.0000000000e+00,-3.9910466898e+00
3.9000000000e-02,-3.5719462869e-03,3.9259215352e-01,1.3947498447e-02,-5.3860172353e-04,1.0000001277e+00,-1.6556295055e-01,-3.7976368717e-01,1.8297445702e-01,-2.4964921752e-02,4.9860269654e-06,2,0.0000000000e+00,-3.9098647811e+00
4.0000000000e-02,-3.7389715163e-03,3.9220752776e-01,1.4132089189e-02,-5.6378715164e-04,1.0000001327e+00,-1.6847749818e-01,-3.8948771106e-01,1.8619597003e-01,-2.5404425298e-02,5.0250860205e-06,2,0.0000000000e+00,-3.8292990037e+00
4.1000000000e-02,-3.9088810375e-03,3.9181317838e-01,1.4319868022e-02,-5.8940752179e-04,1.0000001377e+00,-1.7133161078e-01,-3.9921092023e-01,1.8935072187e-01,-2.5834817398e-02,5.0579523468e-06,2,0.0000000000e+00,-3.7493509884e+00
4.2000000000e-02,-4.0816146480e-03,3.9140910619e-01,1.4510768440e-02,-6.1545375760e-04,1.0000001428e+00,-1.7412575358e-01,-4.0893332706e-01,1.9243922705e-01,-2.6256168204e-02,5.0847074663e-06,2,0.0000000000e+00,-3.6700222672e+00
4.3000000000e-02,-4.2571126110e-03,3.9099531199e-01,1.4704724456e-02,-6.4191685292e-04,1.0000001479e+00,-1.7686039294e-01,-4.1865494547e-01,1.9546200130e-01,-2.6668548041e-02,5.1054456451e-06,2,0.0000000000e+00,-3.5913142745e+00
4.4000000000e-02,-4.4353156568e-03,3.9057179655e-01,1.4901670596e-02,-6.6878787201e-04,1.0000001530e+00,-1.7953599629e-01,-4.2837579080e-01,1.9841956151e-01,-2.7072027388e-02,5.1202721795e-06,2,0.0000000000e+00,-3.5132283482e+00
4.5000000000e-02,-4.6161649834e-03,3.9013856066e-01,1.5101541906e-02,-6.9605794969e-04,1.0000001581e+00,-1.8215303205e-01,-4.3809587979e-01,2.0131242565e-01,-2.7466676874e-02,5.1293019169e-06,2,0.0000000000e+00,-3.4357657310e+00
4.6000000000e-02,-4.7996022579e-03,3.8969560504e-01,1.5304273948e-02,-7.2371829146e-04,1.0000001632e+00,-1.8471196955e-01,-4.4781523050e-01,2.0414111268e-01,-2.7852567267e-02,5.1326577897e-06,2,0.0000000000e+00,-3.3589275716e+00
4.7000000000e-02,-4.9855696171e-03,3.8924293044e-01,1.5509802806e-02,-7.5176017367e-04,1.0000001684e+00,-1.8721327898e-01,-4.5753386223e-01,2.0690614246e-01,-2.8229769456e-02,5.1304696814e-06,2,0.0000000000e+00,-3.2827149253e+00
4.8000000000e-02,-5.1740096683e-03,3.8878053755e-01,1.5718065082e-02,-7.8017494362e-04,1.0000001735e+00,-1.8965743129e-01,-4.6725179549e-01,2.0960803572e-01,-2.8598354452e-02,5.1228733286e-06,2,0.0000000000e+00,-3.2071287560e+00
4.9000000000e-02,-5.3648654901e-03,3.8830842707e-01,1.5928997901e-02,-8.0895401964e-04,1.0000001786e+00,-1.9204489816e-01,-4.7696905191e-01,2.1224731393e-01,-2.8958393367e-02,5.1100093327e-06,2,0.0000000000e+00,-3.1321699364e+00
5.0000000000e-02,-5.5580806332e-03,3.8782659967e-01,1.6142538909e-02,-8.3808889127e-04,1.0000001837e+00,-1.9437615189e-01,-4.8668565422e-01,2.1482449925e-01,-2.9309957410e-02,5.0920222908e-06,2,0.0000000000e+00,-3.0578392500e+00
5.1000000000e-02,-5.7535991209e-03,3.8733505598e-01,1.6358626274e-02,-8.6757111926e-04,1.0000001888e+00,-1.9665166539e-01,-4.9640162613e-01,2.1734011447e-01,-2.9653117876e-02,5.0690600172e-06,2,0.0000000000e+00,-2.9841373914e+00
5.2000000000e-02,-5.9513654495e-03,3.8683379662e-01,1.6577198687e-02,-8.9739233573e-04,1.0000001939e+00,-1.9887191203e-01,-5.0611699234e-01,2.1979468290e-01,-2.9987946133e-02,5.0412728608e-06,2,0.0000000000e+00,-2.9110649681e+00
5.3000000000e-02,-6.1513245893e-03,3.8632282219e-01,1.6798195365e-02,-9.2754424417e-04,1.0000001989e+00,-2.0103736567e-01,-5.1583177846e-01,2.2218872832e-01,-3.0314513617e-02,5.0088130455e-06,2,0.0000000000e+00,-2.8386225011e+00
