t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
4.4742357475e-02,-4.5664550342e-03,3.9025106471e-01,1.5046603340e-02,-6.8856223638e-04,1.0000001566e+00,-1.8137689435e-01,-4.3559396303e-01,2.0045449502e-01,-2.7349635686e-02,5.1273068055e-06,2,0.0000000000e+00,-3.4580881693e+00
4.7596759506e-02,-5.0945527059e-03,3.8896810995e-01,1.5630249874e-02,-7.6819366872e-04,1.0000001712e+00,-1.8856835791e-01,-4.6333574172e-01,2.0840412949e-01,-2.8434119784e-02,5.1265546850e-06,2,0.0000000000e+00,-3.2400610914e+00
5.0497176937e-02,-5.6515033930e-03,3.8758336992e-01,1.6245789814e-02,-8.5217610247e-04,1.0000001860e+00,-1.9540156954e-01,-4.9151903184e-01,2.1595813043e-01,-2.9464597092e-02,5.0814527615e-06,2,0.0000000000e+00,-3.0237454104e+00
5.3445308789e-02,-6.2372235709e-03,3.8609208616e-01,1.6893131945e-02,-9.4049699325e-04,1.0000002009e+00,-2.0186916396e-01,-5.2016064389e-01,2.2310837636e-01,-3.0439957379e-02,4.9934481656e-06,2,0.0000000000e+00,-2.8092882102e+00
5.6442778899e-02,-6.8515736462e-03,3.8448928171e-01,1.7572123196e-02,-1.0331353456e-03,1.0000002156e+00,-2.0796334101e-01,-5.4927677008e-01,2.2984626457e-01,-3.1359024724e-02,4.8643925303e-06,2,0.0000000000e+00,-2.5968537529e+00
5.9491031270e-02,-7.4943274415e-03,3.8276982447e-01,1.8282514918e-02,-1.1300571112e-03,1.0000002302e+00,-2.1367580189e-01,-5.7888197326e-01,2.3616264022e-01,-3.2220547881e-02,4.6964861931e-06,2,0.0000000000e+00,-2.3866296997e+00
6.2591236402e-02,-8.1651411941e-03,3.8092850297e-01,1.9023928618e-02,-1.2312105142e-03,1.0000002444e+00,-2.1899780344e-01,-6.0898828250e-01,2.4204785578e-01,-3.3023208429e-02,4.4922410046e-06,2,0.0000000000e+00,-2.1788312722e+00
6.5744165602e-02,-8.8635137432e-03,3.7896014093e-01,1.9795811956e-02,-1.3365200465e-03,1.0000002582e+00,-2.2392025005e-01,-6.3960397679e-01,2.4749187182e-01,-3.3765634588e-02,4.2544574483e-06,2,0.0000000000e+00,-1.9737061956e+00
6.8949985187e-02,-9.5887267945e-03,3.7685979093e-01,2.0597372711e-02,-1.4458774597e-03,1.0000002714e+00,-2.2843378771e-01,-6.7073158915e-01,2.5248436010e-01,-3.4446415359e-02,3.9862155691e-06,2,0.0000000000e+00,-1.7715429085e+00
7.2208024180e-02,-1.0339776644e-02,3.7462298877e-01,2.1427503298e-02,-1.5591314677e-03,1.0000002839e+00,-2.3252903910e-01,-7.0236565035e-01,2.5701496225e-01,-3.5064135930e-02,3.6908741855e-06,2,0.0000000000e+00,-1.5726776330e+00
7.5516514830e-02,-1.1115298505e-02,3.7224607711e-01,2.2284697099e-02,-1.6760763339e-03,1.0000002956e+00,-2.3619699147e-01,-7.3449016349e-01,2.6107371723e-01,-3.5617436110e-02,3.3720723503e-06,2,0.0000000000e+00,-1.3774999044e+00
7.8872341472e-02,-1.1913493615e-02,3.6972657970e-01,2.3166967846e-02,-1.7964408770e-03,1.0000003063e+00,-2.3942957603e-01,-7.6707615218e-01,2.6465170026e-01,-3.6105097650e-02,3.0337236906e-06,2,0.0000000000e+00,-1.1864541685e+00
8.2270812152e-02,-1.2732065352e-02,3.6706361468e-01,2.4071778949e-02,-1.9198788345e-03,1.0000003160e+00,-2.4222041472e-01,-8.0007941975e-01,2.6774184695e-01,-3.6526156825e-02,2.6799951107e-06,2,0.0000000000e+00,-1.0000368484e+00
